SMILES1,SMILES2,cocrystal
CCC1(C(=O)NC(=O)NC1=O)C2=CC=CC=C2,CCOC1=CC=C(C=C1)NC(=O)C,0
CC(C)(CO)CO,CC(CO)(CO)N,0
C1=CC=C2C=CC=CC2=C1,CC1=CC2=CC=CC=C2C=C1C,0
C1=CC(=CC(=C1)Cl)Cl,C1=CC=C2C=CC=CC2=C1,0
C1=CC(=CC(=C1)[N+](=O)[O-])[N+](=O)[O-],C1=CC=C2C=C(C=CC2=C1)O,0
CC1(C2CCC(O1)(CC2)C)C,CC1=CC=C(C=C1)C(C)C,0
C1=CC=C(C=C1)O,C1=CC=C(C=C1)OC(=O)OC2=CC=CC=C2,0
C1=CC=C(C=C1)C(=O)O,CC(C(C)C(=O)O)C(=O)O,0
C1=CC(=CN=C1)C(=O)N,CN(C)C1=CC=C(C=C1)C=O,0
C1=CC=C(C=C1)NC2=CC=CC=C2,CCNC1=CC=C(C=C1)[N+](=O)[O-],0
C1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])C(=O)O,C1=CC(=CC(=C1)[N+](=O)[O-])C(=O)O,0
C1=CC(=CC=C1O)O,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC(=C(C=C2)O)OC)O,0
C(C(=O)O)Cl,C1=CC=C(C=C1)C=CC(=O)O,0
C1=CC=C2C=CC=CC2=C1,C1CC2=CC=CC3=C2C1=CC=C3,0
CC(=O)OC1=CC=CC=C1C(=O)O,CCC1(C(=O)NC(=O)NC1=O)C2=CC=CC=C2,0
C1=CNN=C1,C1=NNN=C1,0
C1=CC=C2C(=C1)C=CC3=CC=CC=C32,C1=CC=C2C(=C1)SC3=CC=CC=C3S2,0
C1=CC(=CC=C1[N+](=O)[O-])O,C1=CC=C2C(=C1)C3=CC=CC=C3N2,0
C1=CC(=CC(=C1)[N+](=O)[O-])[N+](=O)[O-],C1=CC(=CC=C1[N+](=O)[O-])[N+](=O)[O-],0
C1=CC(=CC(=C1)[N+](=O)[O-])[N+](=O)[O-],CC1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],0
C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])O,CC1=C(C=C(C=C1)[N+](=O)[O-])[N+](=O)[O-],0
C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])O,CC1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],0
C1=C(C=C(C(=C1[N+](=O)[O-])O)[N+](=O)[O-])[N+](=O)[O-],COC1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],0
C1=CC=C2C(=C1)C=CC3=CC=CC=C32,C1CC2=CC=CC3=C2C1=CC=C3,0
C1C2=CC=CC=C2C3=CC=CC=C31,C1CC2=CC=CC3=C2C1=CC=C3,0
C1=CC(=CC=C1Br)Br,C1=CC=C(C(=C1)Cl)Cl,0
