SMILES1,SMILES2,cocrystal,mol1_top1_pos,mol1_top1_val,mol2_top1_pos,mol2_top1_val,mol1_top2_pos,mol1_top2_val,mol2_top2_pos,mol2_top2_val,mol1_top3_pos,mol1_top3_val,mol2_top3_pos,mol2_top3_val,mol1_top4_pos,mol1_top4_val,mol2_top4_pos,mol2_top4_val,mol1_top5_pos,mol1_top5_val,mol2_top5_pos,mol2_top5_val,mol1_top6_pos,mol1_top6_val,mol2_top6_pos,mol2_top6_val
Nc1ccc(cc1)C#N,OC(C#CC#CC(O)(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1,1,5.0,1.128048,23.0,0.591616,8.0,0.481612,16.0,0.525542,3.0,0.354455,22.0,0.498055,6.0,0.328685,13.0,0.459297,4.0,0.116465,11.0,0.444765,7.0,0.029683,6.0,0.406667
CCC=C1CN2C(=Nc3ccccc23)CSc2ccccc12,OC(=O)C=CC(O)=O,1,19.0,0.700796,7.0,0.521605,10.0,0.562293,8.0,0.43139,14.0,0.511747,5.0,0.341967,22.0,0.355994,4.0,0.156043,8.0,0.287619,1.0,0.153899,11.0,0.261747,None,None
N#CC(C#N)=C1C=CC(C=C1)=C(C#N)C#N,S1c2ccccc2C2=C1c1ccccc1S2,1,8.0,0.618461,12.0,0.456087,7.0,0.551737,15.0,0.307881,4.0,0.322753,11.0,0.240822,9.0,0.241753,4.0,0.12782,16.0,0.185771,None,None,15.0,0.158429,None,None
CN(C)c1ccc(cc1)C=NN=C(C)c1ccc(O)cc1O,CN(C)c1ccc(cc1)C=NNC(C)=C1C=CC(=CC1=O)O,1,22.0,0.837862,18.0,1.153719,8.0,0.815845,7.0,0.936867,4.0,0.671555,5.0,0.61692,1.0,0.670254,11.0,0.208872,21.0,0.615712,10.0,0.160142,18.0,0.269383,22.0,0.15463
CC(CCC(O)=O)C1CCC2C3CCC4CC(O)CCC4(C)C3CC(O)C12C,CC1(C)C2CCC1(C)C(=O)C2=O,1,10.0,0.822298,3.0,1.600808,19.0,0.751011,5.0,0.891589,11.0,0.524786,2.0,0.709738,5.0,0.32631,7.0,0.411085,20.0,0.279455,8.0,0.30809,1.0,0.246665,4.0,0.288324
COc1cc(OC)nc(N)n1,OC(=O)CCl,1,6.0,0.753602,2.0,0.789936,9.0,0.720971,1.0,0.452106,10.0,0.522752,4.0,0.286266,5.0,0.493775,5.0,0.227478,8.0,0.48937,3.0,0.116969,2.0,0.043525,None,None
CN1C=NC2=C1C(=O)N(C)C(=O)N2C,Nc1cc(ccc1Cl)N(=O)=O,1,9.0,0.44259,7.0,0.910579,5.0,0.340357,8.0,0.548249,3.0,0.130152,2.0,0.489737,4.0,0.102751,4.0,0.316431,2.0,0.00039,5.0,0.280965,None,None,11.0,0.114294
C1=CC=C(C(=C1)C(=O)O)O,COC1=CC=CC(=C1)C(=O)O,0,2.0,-0.414908,5.0,-0.741892,9.0,-0.22578,9.0,-0.645767,10.0,-0.130474,1.0,-0.493759,None,None,4.0,-0.492441,None,None,8.0,-0.429416,None,None,7.0,-0.269143
Brc1cc2C(=O)OC(=O)c2cc1Br,c1cc2ccc3cccc4ccc(c1)c2c34,1,13.0,1.013947,9.0,1.178082,6.0,0.777915,4.0,0.651132,2.0,0.251813,5.0,0.610964,None,None,12.0,0.550839,None,None,8.0,0.509686,None,None,14.0,0.457796
O=C(Nc1ccccc1)C(=O)Nc1ccccc1,Oc1c(F)c(F)c(F)c(F)c1F,1,5.0,1.036072,1.0,0.973685,14.0,0.564155,9.0,0.498561,10.0,0.449894,8.0,0.435824,16.0,0.416638,2.0,0.28388,7.0,0.283618,5.0,0.254146,11.0,0.139905,3.0,0.123955
